Quote,Clear
""" В жизни должно быть много радости и смеха,  жизнью нужно наслаждаться,  а не просто терпеть"" . 
",в жизни должно быть много радости и смеха жизнью нужно наслаждаться а не просто терпеть
"Где мудрость,  которую мы потеряли в знаниях? Где те знания,  которые мы потеряли в информации? 
",где мудрость которую мы потеряли в знаниях где те знания которые мы потеряли в информации
"вам полезно записывать свои мысли.  Это терапевтично,  потому что заставляет вас замедлиться и задуматься о жизни. 
",вам полезно записывать свои мысли это терапевтично потому что заставляет вас замедлиться и задуматься о жизни
""" Она никогда не представляла,  что обладает силой сделать кого-то другого таким счастливым.  И это тоже не магическая сила - чисто человеческая"" . 
",она никогда не представляла что обладает силой сделать кого-то другого таким счастливым и это тоже не магическая сила чисто человеческая
""" Нас не должно определять то,  что мы делаем,  но мы должны быть такими,  какие мы есть,  и только тогда делать то,  что мы делаем! "" 
",нас не должно определять то что мы делаем но мы должны быть такими какие мы есть и только тогда делать то что мы делаем
""" глубина характера человека измеряется не его физической силой,  а глубиной его благородства"" . 
",глубина характера человека измеряется не его физической силой а глубиной его благородства
"Единственное,  что стоит между человеком и тем,  чего он хочет в жизни,  - это желание попробовать это и вера в то,  что это возможно. 
",единственное что стоит между человеком и тем чего он хочет в жизни это желание попробовать это и вера в то что это возможно
"Но королевство,  которое однажды было разрушено,  никогда не сможет возродиться;  и мертвые никогда не могут быть возвращены к жизни. 
",но королевство которое однажды было разрушено никогда не сможет возродиться и мертвые никогда не могут быть возвращены к жизни
"Источник любви становится скрытым и вскоре наполняется. 
",источник любви становится скрытым и вскоре наполняется
""" Мы никогда не можем судить о жизни других,  потому что каждый человек знает только свою собственную боль и отречение"" . 
",мы никогда не можем судить о жизни других потому что каждый человек знает только свою собственную боль и отречение
"Личное откровение лучше общественных убеждений. 
",личное откровение лучше общественных убеждений
"Тот,  кто отвечает на слова сомнения,  гасит свет знания. 
",тот кто отвечает на слова сомнения гасит свет знания
"Человек,  совершающий мало ошибок,  добивается небольшого прогресса. 
",человек совершающий мало ошибок добивается небольшого прогресса
""" Та точка на небе,  где желтый встречается с синим,  - это рукопожатие,  которое я хочу увидеть на мероприятии # networking.  Солнцезащитные очки продаются отдельно"" . 
",та точка на небе где желтый встречается с синим это рукопожатие которое я хочу увидеть на мероприятии солнцезащитные очки продаются отдельно
""" ОБРАЗОВАНИЕ НУЖНО КАЖДОМУ,  ЭТО ПОТРЕБНОСТЬ НАЦИИ,  В НЕМ ОСНОВА БУДУЩЕГО,  ОНО ВЕДЕТ К УСТРЕМЛЕНИЮ СЕРДЕЦ И ВДОХНОВЛЯЕТ НА ЗАВТРАШНИЙ ДЕНЬ"" . 
",образование нужно каждому это потребность нации в нем основа будущего оно ведет к устремлению сердец и вдохновляет на завтрашний день
"Никогда не доверяйте переводу или толкованию чего-либо,  предварительно не доверившись его переводчику. 
",никогда не доверяйте переводу или толкованию чего-либо предварительно не доверившись его переводчику
""" Посмотри в зеркало и скажи:  "" Нет никого другого,  подобного тебе,  и только по этой причине ты прекрасна"" . 
",посмотри в зеркало и скажи нет никого другого подобного тебе и только по этой причине ты прекрасна
"Тысяча слов не оставляет такого глубокого впечатления,  как один поступок. 
",тысяча слов не оставляет такого глубокого впечатления как один поступок
"Книги - лучшее противоядие от болотного газа скуки и пустоты
",книги лучшее противоядие от болотного газа скуки и пустоты
"Как Он может быть идеальным?  Все,  что Он когда-либо создавал. . .  умирает. 
",как он может быть идеальным все что он когда-либо создавал умирает
"Те,  кому не хватает смелости,  всегда найдут философию,  оправдывающую это. 
",те кому не хватает смелости всегда найдут философию оправдывающую это
"Писатель должен быть универсальным по сочувствию и изгоем по натуре:  только тогда он сможет ясно видеть. 
",писатель должен быть универсальным по сочувствию и изгоем по натуре только тогда он сможет ясно видеть
""" Когда сомневаешься,  делай умный вид"" . 
",когда сомневаешься делай умный вид
"Желая,  чтобы он вернулся до того,  как кто-нибудь заметит,  что часть мира не сдвинулась с места с тех пор,  как он уехал. 
",желая чтобы он вернулся до того как кто-нибудь заметит что часть мира не сдвинулась с места с тех пор как он уехал
""" Потому что,  если ты нашел смысл в своей жизни,  ты не захочешь возвращаться.  Ты хочешь идти вперед"" . 
",потому что если ты нашел смысл в своей жизни ты не захочешь возвращаться ты хочешь идти вперед
"Радость - это источник молодости. 
",радость это источник молодости
"Монеты [ 10w]  Государственные деятели,  чьи лица изображены на монетах,  поддаются изменению. 
",монеты 10 государственные деятели чьи лица изображены на монетах поддаются изменению
"* * * КЛЮЧЕВОЕ СЛОВО* * *  Воображаемые
",ключевое слово воображаемые
""" Величие человека не в том,  сколько богатства он приобретает,  а в его честности и способности положительно влиять на окружающих"" 
",величие человека не в том сколько богатства он приобретает а в его честности и способности положительно влиять на окружающих
"Образование - это не подготовка к жизни;  образование - это сама жизнь. 
",образование это не подготовка к жизни образование это сама жизнь
"Душа окрашивается в цвет своих мыслей. 
",душа окрашивается в цвет своих мыслей
""" Поэты и конкурентоспособность [ 10w]  "" "" Я единственный поэт,  которым мне нужно быть лучше"" . 
",поэты и конкурентоспособность 10 я единственный поэт которым мне нужно быть лучше
"Настоящая дружба подобна крепкому здоровью;  ценность ее редко осознается,  пока не будет утрачена. 
",настоящая дружба подобна крепкому здоровью ценность ее редко осознается пока не будет утрачена
"Кто— то однажды сказал мне,  что любовь несовершенна - или предсказуема. 
",кто то однажды сказал мне что любовь несовершенна или предсказуема
""" Авторы любят кошек,  потому что они такие тихие,  милые,  мудрые существа,  и кошки любят авторов по тем же причинам"" . 
",авторы любят кошек потому что они такие тихие милые мудрые существа и кошки любят авторов по тем же причинам
"Тот,  кто желает постоянного успеха,  должен менять свое поведение в соответствии со временем. 
",тот кто желает постоянного успеха должен менять свое поведение в соответствии со временем
"Душа встречается с душой на губах влюбленных. 
",душа встречается с душой на губах влюбленных
""" Неважно,  что вы не верили в нас"" ,  - сказал мистер Ибис.  "" Мы верили в вас"" . 
",неважно что вы не верили в нас сказал мистер ибис мы верили в вас
"Я вшил жизнь в себя,  как в редкий орган
",я вшил жизнь в себя как в редкий орган
"Величайшее счастье - это когда глаз обнаруживает красоту там,  где ни разум,  ни рука не предполагали ничего подобного. 
",величайшее счастье это когда глаз обнаруживает красоту там где ни разум ни рука не предполагали ничего подобного
""" Сила воли - ключ к успеху.  Успешные люди стремятся независимо от того,  что они чувствуют,  применяя свою волю для преодоления апатии,  сомнений или страха"" . 
",сила воли ключ к успеху успешные люди стремятся независимо от того что они чувствуют применяя свою волю для преодоления апатии сомнений или страха
"Настоящий друг - это тот,  кто приходит,  когда весь остальной мир уходит. 
",настоящий друг это тот кто приходит когда весь остальной мир уходит
"Полное отсутствие юмора в Библии - одна из самых необычных вещей во всей литературе. 
",полное отсутствие юмора в библии одна из самых необычных вещей во всей литературе
""" Жизнь,  которая у вас осталась,  - это дар.  Дорожите ею.  Наслаждайся этим сейчас,  в полной мере.  Делай то,  что важно,  сейчас"" . 
",жизнь которая у вас осталась это дар дорожите ею наслаждайся этим сейчас в полной мере делай то что важно сейчас
"Мой разум - мое царство. 
",мой разум мое царство
""" Несчастные,  которым следовало бы начать с Бога,  не имеют никакой надежды на него,  пока не исчерпают все другие средства спасения"" . 
",несчастные которым следовало бы начать с бога не имеют никакой надежды на него пока не исчерпают все другие средства спасения
"Счастье [ реально]  только тогда,  когда им делятся. 
",счастье реально только тогда когда им делятся
"Чтение дает нам возможность куда-то пойти,  когда мы должны оставаться там,  где мы есть. 
",чтение дает нам возможность куда-то пойти когда мы должны оставаться там где мы есть
"Поэзия - это ритмичное воплощение красоты в словах. 
",поэзия это ритмичное воплощение красоты в словах
""" Я капитан сумасшедшей девчонки,  помнишь? "" 
",я капитан сумасшедшей девчонки помнишь
""" Наука интересна,  и если вы не согласны,  можете отваливать.  Примечание:  Докинз цитировал бывшего редактора журнала New Scientist,  личность которого пока не установлена ( возможно,  Джереми Уэбба) "" 
",наука интересна и если вы не согласны можете отваливать примечание докинз цитировал бывшего редактора журнала личность которого пока не установлена возможно джереми уэбба
"Любить - значит любить того,  кого нельзя любить.  Прощать - значит прощать непростительное.  Верить - значит верить в невероятное.  Надеяться - значит надеяться,  когда все кажется безнадежным. 
",любить значит любить того кого нельзя любить прощать значит прощать непростительное верить значит верить в невероятное надеяться значит надеяться когда все кажется безнадежным
""" Для нас двоих дом - это не место.  Это человек.  И мы,  наконец,  дома"" . 
",для нас двоих дом это не место это человек и мы наконец дома
"Забудь о себе и иди на работу. 
",забудь о себе и иди на работу
""" Когда светит солнце,  я могу делать все,  что угодно;  нет горы слишком высокой,  нет проблемы,  которую было бы слишком трудно преодолеть"" . 
",когда светит солнце я могу делать все что угодно нет горы слишком высокой нет проблемы которую было бы слишком трудно преодолеть
""" В Эмори вам разрешено думать все,  что вы хотите,  при условии,  что это одобрено администрацией.  Они наблюдают"" . 
",в эмори вам разрешено думать все что вы хотите при условии что это одобрено администрацией они наблюдают
""" Он,  конечно,  любил ее,  но более того,  он выбирал ее день за днем.  Выбор:  в этом все дело"" . 
",он конечно любил ее но более того он выбирал ее день за днем выбор в этом все дело
"Я понял,  что женщины и юмор очень тесно связаны. 
",я понял что женщины и юмор очень тесно связаны
""" Я всегда делаю то,  что у меня не получается,  чтобы научиться это делать"" . 
",я всегда делаю то что у меня не получается чтобы научиться это делать
""" Ты впитываешь мою душу и смешиваешь меня.  Каждая капля моей крови взывает к земле.  Мы партнеры,  слитые воедино"" . 
",ты впитываешь мою душу и смешиваешь меня каждая капля моей крови взывает к земле мы партнеры слитые воедино
"Самое важное в успеваемости ребенка - это качество учителя.  Самое важное - убедиться,  что ребенок проводит максимальное количество времени с вдохновляющими учителями. 
",самое важное в успеваемости ребенка это качество учителя самое важное убедиться что ребенок проводит максимальное количество времени с вдохновляющими учителями
"Линкольн неизмеримо вырос,  когда стал думать о себе как об “ инструменте Божьей воли"" . 
",линкольн неизмеримо вырос когда стал думать о себе как об инструменте божьей воли
""" Саспенс очень важен.  Несмотря на то,  что это юмор и это короткие рассказы,  теория создания саспенса все еще существует"" . 
",саспенс очень важен несмотря на то что это юмор и это короткие рассказы теория создания саспенса все еще существует
""" Все мои лучшие произведения были написаны до 1982 года,  а затем со мной произошло знаменательное событие:  я родился"" . 
",все мои лучшие произведения были написаны до 1982 года а затем со мной произошло знаменательное событие я родился
"Библия - не моя книга,  а христианство - не моя профессия.  Я никогда не смог бы согласиться с длинными,  сложными утверждениями христианской догмы"" . 
",библия не моя книга а христианство не моя профессия я никогда не смог бы согласиться с длинными сложными утверждениями христианской догмы
"Просвети каждую жизнь любовью,  чтобы она сияла. 
",просвети каждую жизнь любовью чтобы она сияла
"Собака - джентльмен;  я надеюсь попасть на ее небеса,  а не на человеческие. 
",собака джентльмен я надеюсь попасть на ее небеса а не на человеческие
""" Молитва заставит человека перестать грешить,  или грех побудит человека прекратить молитву"" . 
",молитва заставит человека перестать грешить или грех побудит человека прекратить молитву
""" Океан разделяет земли,  а не души. . "" 
",океан разделяет земли а не души
"Почему была создана печаль?  Чтобы мы могли отдохнуть от смеха. 
",почему была создана печаль чтобы мы могли отдохнуть от смеха
""" Заставлять себя верить и принимать что-то без понимания - это политика,  а не духовность или интеллектуальность"" . 
",заставлять себя верить и принимать что-то без понимания это политика а не духовность или интеллектуальность
""" Все,  что может постичь разум и во что он может поверить,  он может достичь"" . 
",все что может постичь разум и во что он может поверить он может достичь
"В искусстве и мечте пусть вы действуете самозабвенно.  В жизни пусть вы действуете уравновешенно и скрытно. 
",в искусстве и мечте пусть вы действуете самозабвенно в жизни пусть вы действуете уравновешенно и скрытно
"Государство - это та великая фикция,  с помощью которой каждый пытается жить за счет всех остальных. 
",государство это та великая фикция с помощью которой каждый пытается жить за счет всех остальных
""" Мне нравится,  что младенцы похожи на стариков.  На днях я видел ребенка,  который выглядел точь-в-точь как мой дедушка,  только выше ростом"" . 
",мне нравится что младенцы похожи на стариков на днях я видел ребенка который выглядел точь-в-точь как мой дедушка только выше ростом
"Надежда - единственное благо,  общее для всех людей;  те,  у кого нет ничего другого,  все еще обладают надеждой. 
",надежда единственное благо общее для всех людей те у кого нет ничего другого все еще обладают надеждой
""" Слова любви - это дела любви"" . 
",слова любви это дела любви
""" Он не существует,  несмотря на то,  что Бог является творцом"" . "" ( Если бы Бога не существовало,  его пришлось бы изобрести. ) "" 
",он не существует несмотря на то что бог является творцом если бы бога не существовало его пришлось бы изобрести
"Тяжело быть оставленным позади.  ( . . . )  Трудно быть тем,  кто остается. 
",тяжело быть оставленным позади трудно быть тем кто остается
"Я не могу не добавить юмора в книгу. 
",я не могу не добавить юмора в книгу
""" Годы летят,  но сердце остается на том же месте"" . 
",годы летят но сердце остается на том же месте
""" В комнате,  где люди единодушно соблюдают заговор молчания,  одно слово правды звучит как пистолетный выстрел"" . 
",в комнате где люди единодушно соблюдают заговор молчания одно слово правды звучит как пистолетный выстрел
"Принц пришел,  чтобы дать жизнь тем,  чьи жизни были почти прерваны дьяволом из-за забот этого мира. 
",принц пришел чтобы дать жизнь тем чьи жизни были почти прерваны дьяволом из-за забот этого мира
""" Смерть на самом деле не так уж сильно волнует меня,  я не боюсь ее. . .  Я просто не хочу быть там,  когда это произойдет"" . 
",смерть на самом деле не так уж сильно волнует меня я не боюсь ее я просто не хочу быть там когда это произойдет
"Каждое священное путешествие преображает душу. 
",каждое священное путешествие преображает душу
""" Возможно,  я был не совсем честен по этому поводу"" . "" "" "" Ты?  Не совсем правдив?  Я потрясен,  Николай.  Потрясен и в ужасе. "" 
",возможно я был не совсем честен по этому поводу ты не совсем правдив я потрясен николай потрясен и в ужасе
""" Временами это может казаться самым одиноким местом на Земле,  потому что здесь только мы.  Наедине с нашими неотвеченными молитвами"" 
",временами это может казаться самым одиноким местом на земле потому что здесь только мы наедине с нашими неотвеченными молитвами
""" Ну,  пусть будет президент спокоен,  я хочу,  чтобы ты был счастлив,  а не беременный постоянный клиент"" . 
",ну пусть будет президент спокоен я хочу чтобы ты был счастлив а не беременный постоянный клиент
"Она не совсем отрубает ему голову. Она делает из него раздатчик печенья. 
",она не совсем отрубает ему голову она делает из него раздатчик печенья
""" Душа может просить Бога о чем угодно и никогда не потерпит неудачу"" . 
",душа может просить бога о чем угодно и никогда не потерпит неудачу
""" Давайте все будем любить друг друга.  Каждое утро давайте вместе петь песню мира"" . 
",давайте все будем любить друг друга каждое утро давайте вместе петь песню мира
""" Я узнал,  что каждый пациент имеет право надеяться,  несмотря на большие трудности,  и моя роль заключалась в том,  чтобы помогать лелеять эту надежду"" . 
",я узнал что каждый пациент имеет право надеяться несмотря на большие трудности и моя роль заключалась в том чтобы помогать лелеять эту надежду
""" К чему ты готовишься,  потому что ты там,  в Эстане"" . 
",к чему ты готовишься потому что ты там в эстане
""" Ты молод только раз,  но можешь оставаться незрелым вечно"" 
",ты молод только раз но можешь оставаться незрелым вечно
""" Скажите мне,  доктор,  вы боитесь смерти? "" "" "" "" Я думаю,  это зависит от того,  как вы умрете"" . 
",скажите мне доктор вы боитесь смерти я думаю это зависит от того как вы умрете
"Философии нельзя научить;  это применение наук к истине. 
",философии нельзя научить это применение наук к истине
"Жизнь стала будущим.  Каждое мгновение вашей жизни прожито ради будущего. 
",жизнь стала будущим каждое мгновение вашей жизни прожито ради будущего
""" Бог есть любовь,  и тот,  кто пребывает в любви,  пребывает в Боге,  и Бог в нем"" . 
",бог есть любовь и тот кто пребывает в любви пребывает в боге и бог в нем
"Я верю в высшее сознание.  Я также верю,  что природа обладает высшим сознанием.  Дерево обладает большим сознанием,  чем мы. 
",я верю в высшее сознание я также верю что природа обладает высшим сознанием дерево обладает большим сознанием чем мы
""" О,  оплакивай Адониса - Он мертв"" . "" "" "" Мир.  Он не мертв,  он не спит - он пробудился ото сна жизни"" . 
",о оплакивай адониса он мертв мир он не мертв он не спит он пробудился ото сна жизни
"Я понял,  что достаточно быть с теми,  кто мне нравится. 
",я понял что достаточно быть с теми кто мне нравится
"Способности четко проявляются только тогда,  когда они реализованы. 
",способности четко проявляются только тогда когда они реализованы
"Не пытайтесь объяснить чувства.  Проживайте все интенсивно и цените то,  что вы чувствуете,  как дар Божий. 
",не пытайтесь объяснить чувства проживайте все интенсивно и цените то что вы чувствуете как дар божий
"Я всегда уверен,  что мир докажет мою правоту.  Это дает мне свободу противоречить самому себе. 
",я всегда уверен что мир докажет мою правоту это дает мне свободу противоречить самому себе
""" Дружба,  как и бессмертие души,  слишком хороша,  чтобы в нее верить"" . 
",дружба как и бессмертие души слишком хороша чтобы в нее верить
""" Все люди отличаются друг от друга,  но это не значит,  что все должны быть безразличны друг к другу"" . 
",все люди отличаются друг от друга но это не значит что все должны быть безразличны друг к другу
"Книги служат для того,  чтобы показать мужчине,  что его оригинальные мысли,  в конце концов,  не так уж новы. 
",книги служат для того чтобы показать мужчине что его оригинальные мысли в конце концов не так уж новы
"Средний возраст определяется как то,  что происходит,  когда широкий кругозор человека и узкая талия меняются местами. 
",средний возраст определяется как то что происходит когда широкий кругозор человека и узкая талия меняются местами
"То,  как вы видите людей,  - это то,  как вы относитесь к ним,  а то,  как вы относитесь к ним,  - это то,  кем они становятся. 
",то как вы видите людей это то как вы относитесь к ним а то как вы относитесь к ним это то кем они становятся
"Прыжок веры [ 10w]  Увидеть Бога внутри - вот к чему приводит прыжок веры. 
",прыжок веры 10 увидеть бога внутри вот к чему приводит прыжок веры
"Никогда не задавай вопрос,  если не знаешь ответа.  —  Ретт
",никогда не задавай вопрос если не знаешь ответа ретт
""" Если бы я была похожа на него” ,  - сказала Тара.  “ Я бы хотела заниматься сексом сама с собой.  Постоянно"" . 
",если бы я была похожа на него сказала тара я бы хотела заниматься сексом сама с собой постоянно
""" От шестнадцати до двадцати все женщины,  которых поддерживают в настроении их надежды и привлекательность,  кажутся добродушными"" . 
",от шестнадцати до двадцати все женщины которых поддерживают в настроении их надежды и привлекательность кажутся добродушными
"Я всю свою жизнь был помешан на зарабатывании денег. 
",я всю свою жизнь был помешан на зарабатывании денег
"Не стоит судить кого-то,  пока не пройдешь милю по подземному туннелю в ее неудобных туфлях
",не стоит судить кого-то пока не пройдешь милю по подземному туннелю в ее неудобных туфлях
"Я до сих пор помню тот день,  когда мой отец впервые повел меня на Кладбище забытых книг. 
",я до сих пор помню тот день когда мой отец впервые повел меня на кладбище забытых книг
"Возможность может постучаться только один раз,  но искушение давит на дверной звонок
",возможность может постучаться только один раз но искушение давит на дверной звонок
"Единственный выход из лабиринта страданий - простить
",единственный выход из лабиринта страданий простить
""" Леонард Коэн умеет обращаться со словами и юмором,  которые напоминают мне о необходимости расслабиться,  что я очень ценю"" . 
",леонард коэн умеет обращаться со словами и юмором которые напоминают мне о необходимости расслабиться что я очень ценю
""" Когда мы терпим неудачу,  наша гордость поддерживает нас,  а когда мы добиваемся успеха,  она нас предает"" . 
",когда мы терпим неудачу наша гордость поддерживает нас а когда мы добиваемся успеха она нас предает
""" Я хотел начать революцию,  используя искусство для построения общества,  которое я сам себе представлял"" . 
",я хотел начать революцию используя искусство для построения общества которое я сам себе представлял
""" Вселенная,  возможно,  не всегда играет честно,  но,  по крайней мере,  у нее чертовски хорошее чувство юмора"" . 
",вселенная возможно не всегда играет честно но по крайней мере у нее чертовски хорошее чувство юмора
""" По необходимости,  по склонности и по удовольствию мы все цитируем"" . 
",по необходимости по склонности и по удовольствию мы все цитируем
"Любовь к движению - единственная и неповторимая. 
",любовь к движению единственная и неповторимая
""" Когда люди видят в одних вещах красоту,  другие вещи становятся уродливыми. Когда люди видят в одних вещах добро,  другие вещи становятся плохими"" . 
",когда люди видят в одних вещах красоту другие вещи становятся уродливыми когда люди видят в одних вещах добро другие вещи становятся плохими
"Искусство - это отражение творческого ума. 
",искусство это отражение творческого ума
". . . не судите о своем будущем,  основываясь на чужих ошибках. 
",не судите о своем будущем основываясь на чужих ошибках
""" Может ли человек украсть счастье?  Или это просто еще одна внутренняя,  адская уловка человека? "" 
",может ли человек украсть счастье или это просто еще одна внутренняя адская уловка человека
""" В глубокой тишине поднимите свое сознание.  Теперь почувствуйте глубокую радость жизни"" . 
",в глубокой тишине поднимите свое сознание теперь почувствуйте глубокую радость жизни
""" Даже в детстве я никогда не был генератором юмора,  но я всегда знал,  кто смешной,  с кем можно потусоваться"" . 
",даже в детстве я никогда не был генератором юмора но я всегда знал кто смешной с кем можно потусоваться
"Одна смерть - это трагедия;  миллион смертей - это статистика. 
",одна смерть это трагедия миллион смертей это статистика
"Усвоить веру без самой веры - все равно что спеть песню без мелодии. 
",усвоить веру без самой веры все равно что спеть песню без мелодии
"Дни рождения могут быть таким разочарованием,  когда ты старше страны,  в которой живешь. 
",дни рождения могут быть таким разочарованием когда ты старше страны в которой живешь
""" Смерть,  как я давно обнаружил,  доступна в различных вариантах,  и ни один из них не является особенно приятным на вкус"" . 
",смерть как я давно обнаружил доступна в различных вариантах и ни один из них не является особенно приятным на вкус
"Воспитывайте себя в высшей степени. 
",воспитывайте себя в высшей степени
"Космос - это дыхание искусства. 
",космос это дыхание искусства
""" Я устал,  я голоден,  и у меня голова в мешке"" ,  - предупредил я его.  "" Не шути со мной"" . 
",я устал я голоден и у меня голова в мешке предупредил я его не шути со мной
"Возьмите несколько подсказок из некоторых вопросов.  Качество и количество приводят к очередям. 
",возьмите несколько подсказок из некоторых вопросов качество и количество приводят к очередям
"Есть некоторые варианты,  которые вы можете сделать только один раз.  Вы не можете вернуться к тому,  где вы сделали выбор,  а затем принять другой. 
",есть некоторые варианты которые вы можете сделать только один раз вы не можете вернуться к тому где вы сделали выбор а затем принять другой
